season,week,home_team,away_team,home_score,away_score,home_pass_yds,away_pass_yds,home_rush_yds,away_rush_yds,home_giveaways,away_giveaways,neutral
2024,1,BUF,ARI,34,28,222,146,130,124,1,1,0
2024,1,KC,BAL,27,20,281,267,72,185,1,1,0
2024,1,NO,CAR,47,10,199,135,180,58,0,4,0
2024,1,CLE,DAL,17,33,137,163,93,102,2,0,0
2024,1,SEA,DEN,26,20,158,132,146,99,1,4,0
2024,1,PHI,GB,34,29,266,251,144,163,3,1,0
2024,1,IND,HOU,27,29,199,204,104,213,1,0,0
2024,1,MIA,JAX,20,17,319,139,81,128,0,1,0
2024,1,DET,LA,26,20,200,304,163,83,1,1,0
2024,1,LAC,LV,22,10,140,225,176,71,0,3,0
2024,1,NYG,MIN,6,28,166,201,74,111,2,2,0
2024,1,CIN,NE,10,16,154,120,70,170,1,1,0
2024,1,SF,NYJ,32,19,221,198,180,68,0,2,0
2024,1,ATL,PIT,10,18,137,133,89,137,3,0,0
2024,1,CHI,TEN,24,17,64,104,84,140,1,3,0
2024,1,TB,WAS,37,20,280,161,112,138,0,0,0
2024,2,PHI,ATL,21,22,179,233,186,152,1,0,0
2024,2,MIA,BUF,10,31,212,139,139,108,3,0,0
2024,2,HOU,CHI,19,13,235,134,75,71,1,2,0
2024,2,KC,CIN,26,25,137,246,149,74,3,1,0
2024,2,JAX,CLE,13,18,196,172,127,125,0,0,0
2024,2,GB,IND,16,10,122,198,261,140,1,3,0
2024,2,CAR,LAC,3,26,69,130,90,219,1,2,0
2024,2,ARI,LA,41,10,258,192,231,53,1,1,0
2024,2,BAL,LV,23,26,232,233,146,27,1,1,0
2024,2,DAL,NO,19,44,285,242,68,190,2,1,0
2024,2,WAS,NYG,21,18,210,175,215,129,0,1,0
2024,2,TEN,NYJ,17,24,170,164,130,101,2,0,0
2024,2,DEN,PIT,6,13,231,110,64,141,2,0,0
2024,2,NE,SEA,20,23,125,312,185,46,0,0,0
2024,2,MIN,SF,23,17,257,294,146,102,2,2,0
2024,2,DET,TB,16,20,324,146,139,70,2,1,0
2024,3,DAL,BAL,25,28,361,182,51,274,1,0,0
2024,3,LV,CAR,22,36,276,306,55,131,1,0,0
2024,3,IND,CHI,21,16,156,332,150,63,2,3,0
2024,3,TB,DEN,7,26,132,216,91,136,2,1,0
2024,3,ARI,DET,13,20,200,186,77,187,1,1,0
2024,3,TEN,GB,14,30,204,190,33,188,3,0,0
2024,3,MIN,HOU,34,7,156,258,118,38,0,2,0
2024,3,BUF,JAX,47,10,266,147,122,92,0,2,0
2024,3,ATL,KC,17,22,229,217,82,128,1,1,0
2024,3,PIT,LAC,20,10,232,105,114,61,1,0,0
2024,3,SEA,MIA,24,3,270,140,100,65,2,0,0
2024,3,NYJ,NE,24,3,267,61,133,78,0,1,0
2024,3,CLE,NYG,15,21,148,228,69,112,2,2,0
2024,3,NO,PHI,12,15,130,288,89,172,1,2,0
2024,3,LA,SF,27,24,198,288,98,137,0,1,0
2024,3,CIN,WAS,33,38,312,248,124,108,0,0,0
2024,4,BAL,BUF,35,10,156,155,271,81,1,1,0
2024,4,CAR,CIN,24,34,220,232,155,141,1,1,0
2024,4,LV,CLE,20,16,116,149,152,92,1,1,0
2024,4,NYG,DAL,15,20,277,213,26,80,1,0,0
2024,4,NYJ,DEN,9,10,184,60,64,126,1,1,0
2024,4,HOU,JAX,24,20,334,155,101,158,0,1,0
2024,4,LAC,KC,10,17,169,228,55,101,0,2,0
2024,4,CHI,LA,24,18,133,203,131,119,0,2,0
2024,4,GB,MIN,29,31,379,254,86,120,5,2,0
2024,4,SF,NE,30,13,283,143,148,73,2,3,0
2024,4,ATL,NO,26,24,227,235,88,131,2,1,0
2024,4,TB,PHI,33,16,334,114,111,113,1,1,0
2024,4,IND,PIT,27,24,225,282,133,122,0,2,0
2024,4,DET,SEA,42,29,273,383,116,133,0,2,0
2024,4,MIA,TEN,12,31,78,102,106,142,1,1,0
2024,4,ARI,WAS,14,42,115,233,181,216,1,1,0
2024,5,SF,ARI,23,24,231,189,153,169,3,1,0
2024,5,CIN,BAL,38,41,371,345,71,175,1,1,0
2024,5,HOU,BUF,23,20,331,126,94,150,2,0,0
2024,5,CHI,CAR,36,10,296,172,128,120,0,3,0
2024,5,WAS,CLE,34,13,219,108,215,104,2,1,0
2024,5,PIT,DAL,17,20,134,336,92,109,1,3,0
2024,5,LA,GB,19,24,236,202,134,126,2,1,0
2024,5,JAX,IND,37,34,371,348,126,99,2,1,0
2024,5,DEN,LV,34,18,180,215,109,115,0,3,0
2024,5,NE,MIA,10,15,148,179,151,193,0,2,0
2024,5,KC,NO,26,13,321,174,139,46,1,1,0
2024,5,SEA,NYG,20,29,231,245,102,175,1,1,0
2024,5,MIN,NYJ,23,17,171,218,82,36,2,3,0
2024,5,ATL,TB,36,30,477,173,73,160,1,1,0
2024,6,GB,ARI,34,13,258,214,179,89,1,3,0
2024,6,CAR,ATL,20,38,221,225,114,198,2,1,0
2024,6,NYJ,BUF,20,23,272,210,121,149,1,0,0
2024,6,NYG,CIN,7,17,190,183,119,121,1,1,0
2024,6,PHI,CLE,20,16,256,144,116,100,0,0,0
2024,6,DAL,DET,9,47,198,308,53,184,5,0,0
2024,6,NE,HOU,21,41,209,176,82,192,4,1,0
2024,6,TEN,IND,17,20,95,189,146,80,1,1,0
2024,6,CHI,JAX,35,16,221,210,152,68,1,2,0
